JULDAY,TIME,D0cm,D2.5cm,D5cm,D10cm,D15cm,D20cm,D30cm,D50cm,D100cm,D200cm,Tair,Tair_mammals
196,480,31.14905548,30.56202507,30.07977104,29.39539337,28.95222855,28.65434074,28.28181839,27.48614502,23.61293983,15.49166775,25.54455566,27.94036293
196,540,33.07597351,31.90528107,31.38848114,30.27322006,29.52271271,28.98637581,28.32643318,27.40965843,23.608284,15.49166775,28,30.17114067
196,600,34.61677551,33.61978912,32.747509,31.34045219,30.28777885,29.50111961,28.49357224,27.35493279,23.60240173,15.49166775,30.37420654,32.18993759
196,660,35.89170837,34.90636444,33.99648285,32.41374588,31.14314842,30.14100647,28.77761841,27.33145714,23.59588242,15.49166775,32.34521484,33.86392975
196,720,36.89811325,35.88211441,34.94575119,33.30072403,31.92876053,30.79694939,29.14552689,27.34539604,23.58945274,15.49166775,33.64593506,35.04024887
196,780,37.83109283,36.80409622,35.84590149,34.12952423,32.66532135,31.42903709,29.55243492,27.39759254,23.58389473,15.49166775,34.10003662,35.69966125
196,840,38.37916946,37.43445969,36.52617264,34.83586502,33.3375206,32.03388977,29.97601509,27.48530769,23.57996368,15.49166775,33.64593506,35.67477036
196,900,38.42648315,37.63341141,36.84904861,35.30440521,33.8637085,32.55908203,30.39334869,27.60407448,23.57828331,15.49166775,32.34521484,34.95127487
196,960,37.877491,37.32628632,36.73071671,35.45623016,34.17215347,32.94432068,30.77124596,27.74707794,23.57936859,15.49166775,30.37420654,33.58892441
196,1020,36.81821823,36.53110886,36.16470337,35.24776459,34.2087822,33.13642502,31.07243156,27.90473747,23.58353424,15.49166775,28,31.77723503
196,1080,35.36591339,35.34502792,35.22181702,34.70537567,33.96750641,33.11000061,31.26394272,28.06518173,23.59085846,15.49166775,25.54449463,29.750494
196,1140,33.5508728,34.09535217,33.99351501,33.90254974,33.47816467,32.86891174,31.32553482,28.21554756,23.60116005,15.49166775,23.34051514,27.71208763
196,1200,32.53451538,32.77189636,32.92977142,33.01667786,32.84095001,32.45885849,31.25475883,28.34370041,23.61400223,15.49166775,22.55038452,26.82413292
196,1260,31.6856041,31.92059898,32.09534836,32.26846313,32.22366333,31.99160194,31.0793438,28.44055557,23.62874413,15.49166775,22.04623413,26.17147827
196,1320,31.02444077,31.25195313,31.43142891,31.64499474,31.6746254,31.53883362,30.84620285,28.50248909,23.64465141,15.49166775,21.67944336,25.67780495
196,1380,30.48609352,30.69305229,30.87915802,31.11272621,31.18920898,31.11878395,30.59017372,28.53066444,23.66097641,15.49166775,21.41256714,25.29390144
227,0,27.72356224,27.91802406,28.08061409,28.31368065,28.4246788,28.42068863,28.10100365,26.59103775,22.65582085,15.49166775,20.40567017,23.53530121
227,60,27.39793968,27.57672882,27.73070145,27.9617691,28.08814621,28.11288071,27.87946701,26.57286835,22.66286659,15.49166775,20.25796509,23.30969429
227,120,27.1296711,27.29428482,27.43805504,27.66035271,27.79252625,27.8354969,27.66767311,26.53533173,22.66911697,15.49166775,20.14627075,23.1293087
227,180,26.55136108,27.32354927,27.11722183,27.40528107,27.53205299,27.58690071,27.46796227,26.48232079,22.67424965,15.49166775,20.06182861,22.83226585
227,240,26.70763206,26.84742546,26.97171211,27.17152405,27.30250168,27.36361885,27.28105736,26.41729164,22.67801285,15.49166775,19.99795532,22.86040306
227,300,26.5477829,26.67373466,26.78693771,26.97245789,27.09841156,27.16259003,27.10664177,26.34322929,22.68024445,15.49166775,19.94967651,22.76423264
227,360,27.0913887,26.49536705,26.84759331,26.85642815,26.94212341,26.98919868,26.94486809,26.2626133,22.68082619,15.49166775,20.17153931,23.12519646
227,420,27.64317131,27.38955879,27.21014595,27.01906776,26.9401741,26.90076256,26.80772781,26.17801285,22.67970276,15.49166775,21.53237915,24.14234161
227,480,29.08196068,28.54976273,28.12698746,27.55120659,27.20305443,26.98476791,26.7302494,26.09407234,22.67688179,15.49166775,23.68136597,25.98945045
